0
 a genie gives you three wishes—what are they?
 are you a fan of musicals—why or why not?
" are you able to work from home, and if so, do you enjoy it?"
" are you active on social media, or do you prefer to be more private?"
" are you an organ donor, and how did you come to that decision?"
 are you double-jointed?
 are you good at solving puzzles?
 are you into after-work happy hours?
 are you into podcasts or do you only listen to music?
" are you looking forward to retiring, or do you plan to work as long as possible?"
" are you more of a ""work to live"" or a ""live to work"" type of person?"
" at a party, where can someone find you?"
 best family board games
 best family gift ideas everyone will love
 can you say your abcs backwards?
 can you write in cursive?
 did you ever get to meet your great-grandparents?
 did you ever hide anything from or lie to your parents?
" do you ""stan"" any celebrities?"
 do you and your family have any nicknames for each other?
 do you believe in any conspiracy theories (no judgement)?
 do you believe in astrology? why or why not?
" do you believe in ghosts—why or why not? (bonus question: if so, are you afraid of ghosts?)"
" do you believe in having a ""five-year plan""?"
 do you believe in life on other planets?
 do you believe in love at first sight?
 do you believe in second chances?
 do you believe in soulmates? why or why not?
 do you believe time you enjoy wasting is not wasted time?
 do you believe what is meant for you will never miss you?
 do you believe you should do one thing a day that scares you?
 do you consider yourself good at networking?
 do you ever wish you were raised differently?
 do you get along with all your coworkers?
 do you have a favorite holiday? why or why not?
 do you have a favorite type of exercise?
" do you have a morning routine at work? if so, what it’s like?"
" do you have a professional mentor? if not, do you want one?"
 do you have a work bestie?
 do you have any allergies?
 do you have any friends you would consider family?
 do you have any pet peeves?
 do you have any recurring dreams?
 do you have any special skills?
 do you hit the snooze button or wake up immediately?
 do you like going to the movies or prefer watching at home?
 do you live by any piece of advice or motto?
 do you live by any words of wisdom?
 do you sing in the shower?
 do you sleep with a top sheet? why or why not?
 do you think iced coffee should only be consumed in the summer or all year round?
 do you think iced coffee should only be consumed in the summer or all year round?
 do you think our dreams have hidden meanings?
 do you think you'll likely accomplish all your dreams?
 do you think you’ll stay in your current gig awhile? why or why not?
 do you trust your own memory? why or why not?
 do you volunteer at all?
 do you want a family of your own?
 do you wash your legs in the shower?
" do you wish you had a bigger family, or are you happy with its current size?"
" do you wish you had more siblings? if so, why?"
 does your family ever take trips together?
 does your job make you feel happy and fulfilled? why or why not?
 has your family ever pressured you to act a certain way?
 have you ever been to a family reunion?
" have you ever experienced true love, and how did you know?"
" have you ever had ""imposter syndrome""?"
 have you ever had a side hustle or considered having one?
" have you ever lost a friend? if so, what happened?"
 have you ever mapped out your family tree?
 have your ever disliked something and then changed your mind?
 how can someone earn your trust?
 how can someone lose your trust?
 how did your parents (and/or grandparents) meet?
 how do you approach taking time off from work?
 how do you deal with arguments between family members?
 how do you deal with work stress?
 how do you define beauty?
 how do you define your family now?
 how do you enjoy spending your alone time?
 how do you feel about family events?
 how do you interact with someone who disagrees with you?
 how do you motivate yourself in your career?
 how do you pick yourself back up after making a mistake at work?
 how do you separate your work life from your home life?
 how do you show kindness to others?
 how do you show your family you love them?
 how do you take your coffee?
 how do you turn a “no” into a “yes”?
 how do your daily priorities reflect your overall values in life?
 how has your opinion of your family changed over the years?
 how has your perspective on the world changed over time?
 how many hours do you get to the airport before a flight?
 how much time do you spend with your family?
" how old were you when you had your first celebrity crush, and who was it?"
 how old were you when you started working?
 how would your 
" ideally, how would you spend your birthday?"
" if you came back in your next life as an animal, what animal would you be?"
" if you could change anything about yourself, would you? if so, what and why?"
" if you could change your relationship with a family member, would you? if so, with whom?"
" if you could choose your own work schedule, would you?"
" if you could do anything, besides what you're doing now, what would you do?"
" if you could do it all over again, would you pursue the same career? why or why not?"
" if you could go back to anytime in history, where would you go?"
" if you could have a super power, what would it be?"
" if you could have any exotic animal as a pet, which would it be?"
" if you could live anywhere in the world, where would it be?"
" if you could live in a movie, which one would it be and why?"
" if you could magically become famous, would you want to?"
" if you could only eat one food for the rest of your life, what would it be?"
" if you could only teach one thing to your (future) child, what would it be?"
" if you could own a mythical creature (unicorn, phoenix, etc"
" if you could relive one moment in your life, which would it be?"
" if you could snap your fingers and instantly make the world better, what would you do?"
" if you could time travel, when and where would you go?"
" if you found out today was your last day on earth, what would you do?"
" if you got to name a new country, how would you decide what to call it?"
" if you had a family business, what would it be?"
