,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
160,WP,RB,VBD,PRP,JJ,IN,PRP$,JJ,NN,IN,NN,.,,,,,,
161,WP,NN,NNS,VBP,PRP,NN,IN,PRP$,NNS,.,,,,,,,,
162,WP,JJ,NNS,VBP,PRP,NN,IN,PRP$,NNS,.,,,,,,,,
163,WP,VBZ,VBP,PRP,VB,IN,IN,DT,NN,.,,,,,,,,
164,WP,NN,RB,VBZ,PRP,RP,IN,DT,NN,NN,.,,,,,,,
165,WP,VBZ,VBD,PRP$,NN,NNS,VBP,PRP,VBG,RP,.,,,,,,,
166,WP,NNS,VBP,RBS,JJ,TO,PRP,IN,PRP$,NN,NNS,.,,,,,,
167,WP,NN,IN,NN,VBP,PRP,IN,.,,,,,,,,,,
168,WP,NN,IN,NN,VBP,PRP,VB,TO,VB,IN,IN,DT,CD,.,,,,
169,WP,VBD,PRP,IN,VBG,RP,IN,DT,RB,NN,.,,,,,,,
170,WP,VBD,DT,JJS,NN,PRP,RB,VBD,CC,WRB,.,,,,,,,
171,WP,VBD,DT,JJ,NN,NN,PRP,VBN,.,,,,,,,,,
172,WP,VBD,DT,JJ,NN,PRP,VBP,.,,,,,,,,,,
173,WP,VBD,PRP$,JJ,JJ,NNP,NN,.,,,,,,,,,,
174,WP,VBD,PRP$,JJ,NN,VBG,RP,.,,,,,,,,,,
175,WP,MD,VB,DT,JJ,NN,NN,VBP,IN,PRP,VBD,DT,NN,.,,,,
176,WP,MD,VB,DT,NN,IN,PRP$,NN,.,,,,,,,,,
177,WRB,DT,NN,NN,NN,IN,PRP,.,,,,,,,,,,
178,NNS,DT,JJ,NN,IN,PRP$,JJ,NN,.,,,,,,,,,
179,NNS,RBR,JJ,NN,CC,NNS,.,,,,,,,,,,,
180,NNS,IN,PRP$,NN,NN,.,,,,,,,,,,,,
181,NNP,CD,NN,WDT,MD,RB,VB,PRP$,NN,RBR,.,,,,,,,
182,NNP,CD,VBD,NN,PRP,VBP,TO,VB,IN,DT,JJ,NN,.,,,,,
183,NNS,NN,DT,NN,NN,VBP,IN,PRP$,NN,.,,,,,,,,
184,NNS,NN,PRP$,NN,MD,VB,VBN,TO,VB,IN,PRP,.,,,,,,
185,NNS,NN,RB,VBD,IN,NN,RB,.,,,,,,,,,,
186,VBZ,DT,JJS,NN,NN,NN,RB,RB,.,,,,,,,,,
187,VBZ,DT,JJS,NN,NN,NN,RB,VBD,.,,,,,,,,,
188,VBZ,DT,JJS,NN,NN,RB,VBN,TO,.,,,,,,,,,
189,VBZ,DT,JJS,NN,NN,RB,VBN,.,,,,,,,,,,
190,VBZ,DT,JJS,NN,NN,RB,RB,.,,,,,,,,,,
191,VBZ,DT,JJS,NN,IN,NN,DT,NN,NN,VBZ,VBN,PRP,.,,,,,
192,VBZ,DT,JJS,NN,NN,VBN,IN,PRP$,JJ,NN,.,,,,,,,
193,IN,DT,NN,NN,NN,RBS,NN,IN,.,,,,,,,,,
194,IN,DT,JJ,NN,PRP,VBP,IN,VBG,TO,VB,DT,JJ,NN,.,,,,
195,IN,DT,JJ,NN,PRP,VBP,IN,VBG,NN,IN,NN,.,,,,,,
196,IN,DT,JJ,NN,PRP,VBP,IN,DT,NN,.,,,,,,,,
197,IN,DT,JJ,NN,PRP,VBP,IN,IN,DT,NN,NN,NN,.,,,,,
198,IN,DT,JJ,NN,PRP,VBP,IN,NN,.,,,,,,,,,
